,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
171,Jewish,Secular,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Pete Buttigieg,Liberal,80,0.274162011891683
172,Catholic,None of the above,Never married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,Pete Buttigieg,Liberal,28,0.312221878543055
173,Something else,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",,Female,Hispanic,,,22,1.58706303072509
174,Agnostic,Progressive,Divorced,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Female,White,Amy Klobuchar,Liberal,72,0.40511036825845
175,Something else,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Male,White,3rd party,Moderate; middle of the road,63,0.922409453558708
176,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",,Female,White,Joe Biden,Moderate; middle of the road,64,0.0
177,Protestant,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",,Female,White,,Extremely liberal,61,0.351272963516898
178,Something else,None of the above,Divorced,High school credential,Heterosexual or straight,"$10,000-14,999",Donald Trump,Male,Hispanic,Donald Trump,,60,0.712634998733802
179,Protestant,Traditional,Married,High school credential,Heterosexual or straight,"$45,000-49,999",Donald Trump,Male,White,,Conservative,48,1.65080977615727
180,Protestant,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,Donald Trump,Conservative,69,0.205356461879024
181,Jewish,Traditional,Widowed,Graduate degree,Heterosexual or straight,,Donald Trump,Female,White,Donald Trump,Moderate; middle of the road,80,0.363832787629937
182,Protestant,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,Donald Trump,Conservative,77,0.603775981972756
183,Catholic,Progressive,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Black,Joe Biden,Moderate; middle of the road,48,0.405007209451447
184,Nothing in particular,Charismatic/Pentecostal,Separated,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Joe Biden,Female,Black,Joe Biden,Slightly liberal,47,0.486876742373154
185,Something else,None of the above,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Male,White,,,43,0.0
186,Catholic,None of the above,Divorced,High school credential,Heterosexual or straight,"$75,000-79,999",Joe Biden,Female,Hispanic,Joe Biden,,71,1.22998827827894
187,Nothing in particular,Spiritual but not religious,Never married,High school credential,Heterosexual or straight,"$50,000-59,999",,Male,Hispanic,,Slightly liberal,31,1.36819497398076
188,Protestant,Mainline,Married,Graduate degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,Joe Biden,Liberal,78,0.640595314297944
189,Protestant,Spiritual but not religious,Widowed,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Female,Black,,Moderate; middle of the road,76,0.908572321132912
190,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,,Conservative,46,0.465037080020283
191,Nothing in particular,None of the above,Never married,High school credential,Bisexual,"$80,000-89,999",,Female,White,,,31,4.50357107312051
192,Something else,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,Black,,Moderate; middle of the road,29,0.795715291010526
193,Catholic,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Joe Biden,Female,Hispanic,,Conservative,69,0.22559057498585
194,Nothing in particular,None of the above,Never married,High school credential,Homosexual or gay (or lesbian),"$50,000-59,999",,Female,White,,Extremely liberal,34,2.83842087739981
195,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$20,000-24,999",Donald Trump,Male,White,,,23,0.884982091994862
196,Jewish,Traditional,Married,Graduate degree,Heterosexual or straight,"$45,000-49,999",Joe Biden,Male,White,,,61,0.542224843954831
197,Nothing in particular,Secular,Married,Graduate degree,Bisexual,"$175,000-249,999",Joe Biden,Male,White,,Liberal,57,0.851189831719499
198,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,33,0.306615981054789
199,Protestant,None of the above,Married,Bachelor’s degree,Heterosexual or straight,,Donald Trump,Female,White,3rd party,Moderate; middle of the road,-9,0.740179862257044
200,Catholic,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"$60,000-64,999",,Male,White,Joe Biden,Slightly liberal,71,0.686106958056412
201,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,Donald Trump,Conservative,50,0.909292576344585
202,Protestant,Traditional,Married,High school credential,Heterosexual or straight,,,Female,White,,Moderate; middle of the road,71,2.85890889888961
203,Protestant,Spiritual but not religious,Divorced,,Heterosexual or straight,"$45,000-49,999",,Female,White,,Moderate; middle of the road,70,0.470858127175312
204,Nothing in particular,Traditional,Never married,High school credential,Heterosexual or straight,"$50,000-59,999",,Male,Hispanic,,Slightly conservative,22,3.87727101719971
205,Catholic,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",,Male,Hispanic,,Slightly liberal,24,0.657621601281928
206,Muslim,Non-traditional believer,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$20,000-24,999",,Female,Black,,,40,0.614832869477195
207,Atheist,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Male,White,,Liberal,49,0.488179751777994
208,Protestant,Traditional,Never married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,,Moderate; middle of the road,56,0.495688352156392
209,Protestant,Charismatic/Pentecostal,Married,High school credential,Heterosexual or straight,"$70,000-74,999",,Male,Hispanic,,Conservative,59,2.84929958118373
210,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,,Extremely conservative,63,0.612611691888286
211,Nothing in particular,Spiritual but not religious,Married,Graduate degree,Homosexual or gay (or lesbian),"$100,000-109,999",Joe Biden,Male,White,Joe Biden,Liberal,73,0.306926374039744
212,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,56,1.39617210913909
213,Something else,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,White,Donald Trump,Moderate; middle of the road,41,0.798779644479589
214,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$90,000-99,999",Donald Trump,Female,White,,,48,0.654228014571439
215,Protestant,Traditional,Married,Less than high school credential,Heterosexual or straight,"$250,000 or more",Donald Trump,Female,White,,,80,3.88723685864491
216,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$60,000-64,999",,Female,Black,,Extremely liberal,36,0.0
217,Protestant,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,Multiracial,Donald Trump,Moderate; middle of the road,64,0.536281495566732
218,Catholic,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,,Conservative,28,1.10091802378845
219,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",,Male,White,,Slightly liberal,21,0.601178775649195
220,Agnostic,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$80,000-89,999",Donald Trump,Male,White,,Slightly conservative,61,1.5553120869875
221,Catholic,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",Joe Biden,Male,White,Joe Biden,Liberal,65,0.389179806776807
222,Something else,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,,Slightly conservative,35,0.364468492464052
223,Atheist,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,White,,,31,0.559029184341306
224,Something else,Mainline,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",,Female,Multiracial,,,24,4.09417041987032
225,Something else,Traditional,Separated,High school credential,Heterosexual or straight,"$20,000-24,999",,Female,White,,Moderate; middle of the road,37,3.11838708531571
226,Nothing in particular,Progressive,Married,High school credential,Bisexual,"$65,000-69,999",Donald Trump,Male,White,3rd party,Moderate; middle of the road,53,1.42106668503042
227,Something else,Progressive,Married,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Bernie Sanders,Liberal,34,1.50215671714812
228,Atheist,None of the above,Divorced,Graduate degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Male,Asian/NHPI,Elizabeth Warren,Moderate; middle of the road,60,0.317115117668951
229,Protestant,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Joe Biden,Male,White,,Moderate; middle of the road,66,0.429392926544974
230,Catholic,Traditional,Married,High school credential,Heterosexual or straight,"$90,000-99,999",Donald Trump,Male,White,Donald Trump,,70,0.581460963388274
231,Nothing in particular,Spiritual but not religious,Divorced,Graduate degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,,Moderate; middle of the road,51,1.01691098587998
232,Something else,Traditional,Never married,High school credential,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,Joe Biden,Moderate; middle of the road,44,0.679058119829497
233,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Black,Joe Biden,Moderate; middle of the road,60,0.294755401699099
234,Orthodox,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",,Male,AIAN,,Extremely conservative,34,0.796858604617722
235,Protestant,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,,Conservative,53,0.694274451306287
236,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,,Liberal,37,0.865732921571295
237,Catholic,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$65,000-69,999",,Female,White,,Moderate; middle of the road,56,1.00463938509238
238,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",,Female,White,,Liberal,46,0.469817652792819
239,Catholic,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$250,000 or more",Joe Biden,Female,Asian/NHPI,Elizabeth Warren,Slightly liberal,38,0.0
240,Something else,Spiritual but not religious,Divorced,Less than high school credential,Heterosexual or straight,"$80,000-89,999",Joe Biden,Female,Multiracial,,Slightly liberal,63,0.690280987462109
241,Nothing in particular,Secular,Never married,Bachelor’s degree,Heterosexual or straight,"$15,000-19,999",Joe Biden,Male,White,,Liberal,29,1.11069702984119
242,Catholic,None of the above,Married,High school credential,Heterosexual or straight,"$50,000-59,999",,Male,Hispanic,Joe Biden,,41,0.0
243,,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,,Howie Hawkins,Male,White,,Moderate; middle of the road,54,1.01027799619206
244,Something else,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$75,000-79,999",Donald Trump,Female,White,Donald Trump,Extremely conservative,79,0.616031320762672
245,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",,Female,White,,Moderate; middle of the road,31,1.95696354826266
246,Agnostic,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,Donald Trump,Male,White,Donald Trump,Conservative,50,0.687384321471023
247,Nothing in particular,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,,Liberal,64,0.426042858045799
248,Something else,Non-traditional believer,Widowed,,Heterosexual or straight,,Joe Biden,Female,White,Joe Biden,Slightly conservative,80,1.41760858267013
249,Nothing in particular,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,60,0.783103457456957
250,Protestant,Charismatic/Pentecostal,Married,Graduate degree,Something else,"$100,000-109,999",,Female,Hispanic,,Slightly liberal,28,0.0
