,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
5929,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$40,000-44,999",Donald Trump,Male,White,,Extremely conservative,32,0.669655252205551
5930,Something else,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",,Male,Multiracial,,Moderate; middle of the road,40,2.75677679398641
5931,Nothing in particular,Spiritual but not religious,Widowed,Bachelor’s degree,Something else,"$20,000-24,999",,Female,White,3rd party,Moderate; middle of the road,42,0.0
5932,Something else,Progressive,Married,"Some post-high school, no bachelor’s degree",Homosexual or gay (or lesbian),"$50,000-59,999",,Female,White,Bernie Sanders,Moderate; middle of the road,60,0.0
5933,Something else,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,Hispanic,Joe Biden,,53,0.608442030890289
5934,Protestant,Non-traditional believer,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$35,000-39,999",Joe Biden,Female,White,Bernie Sanders,,65,0.253618184613061
5935,Nothing in particular,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,Black,Joe Biden,Liberal,42,0.396193216780079
5936,Nothing in particular,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Joe Biden,Female,White,Elizabeth Warren,Extremely liberal,60,1.74202550624898
5937,Something else,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$15,000-19,999",,Female,White,,Moderate; middle of the road,59,0.204410670975087
5938,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Joe Biden,Liberal,76,0.870766582067707
5939,Something else,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"Under $9,999",Donald Trump,Male,Hispanic,Donald Trump,Extremely conservative,55,0.125033637722261
5940,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$45,000-49,999",Joe Biden,Male,White,Joe Biden,Liberal,44,0.391856836407466
5941,Jewish,Secular,Married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Joe Biden,Liberal,-9,0.990402820058806
5942,Buddhist,None of the above,Married,Bachelor’s degree,Something else,"Under $9,999",Howie Hawkins,Male,AIAN,,,66,0.100649207158767
5943,Catholic,Traditional,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Donald Trump,Male,White,,Slightly conservative,62,0.25776502063539
5944,Protestant,Charismatic/Pentecostal,Divorced,High school credential,Heterosexual or straight,"$60,000-64,999",Donald Trump,Male,White,,Conservative,75,1.60721674455955
5945,Agnostic,Spiritual but not religious,Never married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,Asian/NHPI,,Liberal,35,0.670750055080907
